Title,DSU_KEY,DSU_Email,DSU_HeadEmail,HeadshipType,HeadTitle
Ag DG/CEO,Ag DGCEO,Ag DGCEO@nitda.gov.ng,,Acting,Ag DGCEO
Audit and Internal Control Department,AIC,AIC@nitda.gov.ng,DAIC@nitda.gov.ng,Acting,Ag. DAIC
Budget Development and Monitoring Unit,BDMU,BDMU@nitda.gov.ng,HBDMU@nitda.gov.ng,Substantive,HBDMU
Committee of Directors,COMDIR,COMDIR@nitda.gov.ng,,N/A,
Computer Emergency Readiness and Response Team,CERRT,CERRT@nitda.gov.ng,CERRT@nitda.gov.ng,N/A,CERRT
Corporate Communications and Media Relations Department,CCMR,CCMR@nitda.gov.ng,DCCMR@nitda.gov.ng,Substantive,DCCMR
Corporate Planning and Strategy Department,CPS,CPS@nitda.gov.ng,DCPS@nitda.gov.ng,Substantive,DCPS
Cybersecurity Department,CS,CS@nitda.gov.ng,DCS@nitda.gov.ng,Substantive,DCS
DGs Office,DGO,DGS@nitda.gov.ng,dgs@nitda.gov.ng,N/A,DGO
Digital Development Services Department,DDSD,DDSD@nitda.gov.ng,DDSD@nitda.gov.ng,Acting,DDSD
Director-General/CEO,CEO,DG@nitda.gov.ng,dg@nitda.gov.ng,Substantive,DGCEO
Domains Management,DMS,Domains@nitda.gov.ng,Domains@nitda.gov.ng,N/A,Domains
e-Government Department,eGD,eGD@nitda.gov.ng,DeGD@nitda.gov.ng,Substantive,DeGD
Finance Management and Control Department,FMC,FMC@nitda.gov.ng,DFMC@nitda.gov.ng,Substantive,DFMC
Human Resource Management,HRM,HRM@nitda.gov.ng,DHRM@nitda.gov.ng,Substantive,DHRM
Information Technology Department,ITD,ITD@nitda.gov.ng,,Substantive,DIT
IT Projects Clearance,ITPC,ITPC@nitda.gov.ng,HITPC@nitda.gov.ng,Substantive,HITPCU
Legal Services and Board Matters,LBMU,LBMU@nitda.gov.ng,HLBMU@nitda.gov.ng,Acting,Ag. HLBMU
Licensing and Regulations,IIC,IICP@nitda.gov.ng,IICP@nitda.gov.ng,N/A,IICP
National Centre for Artificial Intelligence and Robotics,NCAIR,NCAIR@nitda.gov.ng,NDNCAIR@nitda.gov.ng,Substantive,NDNCAIR
Office for Nigerian Digital Innovation,ONDI,ONDI@nitda.gov.ng,NCONDI@nitda.gov.ng,Substantive,NCONDI
Administration and General Services Department,AGS,,AGS@nitda.gov.ng,Substantive,DAGSD
Executive Assistant to the DGCEO,EA,,,DGCEO_Assistant,EA TO DGCEO
Executive Assistant (Automation) to the DGCEO,EAA,,,DGCEO_Assistant,EAA To DGCEO
Personal Assistant to the DGCEO,PA,,,DGCEO_Assistant,PA To DGCEO
Special Assistant (Strategic Partnerships) to the DGCEO,SA-SP,,,DGCEO_Assistant,SA (SP) to the DGCEO
Special Assistant (Policy Formulation) to the DGCEO,SA-PF,,,DGCEO_Assistant,SA(PF) TO DGCEO
Procurement,PU,PU@nitda.gov.ng,HPU@nitda.gov.ng,Substantive,HPU
Project Management Department,PM,PM@nitda.gov.ng,,Acting,Ag. DPM
Reforms Coordination and Service Delivery Unit,RCSD,RCSD@nitda.gov.ng,HRCSD@nitda.gov.ng,Substantive,HRCSD
Regulations and Compliance Department,RC,RC@nitda.gov.ng,DRC@nitda.gov.ng,Acting,Ag. DRC
Research and Development Department,RD,RD@nitda.gov.ng,DRD@nitda.gov.ng,Substantive,DRD
Special Assistant (Innovation and Research) to the DGCEO,SA-IP,,,DGCEO_Assistant,SA (IR) to the DGCEO
SERVICOM,SERVICOM,SERVICOM@nitda.gov.ng,HSERVICOM@nitda.gov.ng,Substantive,HSERVICOM
Stakeholders Management and Partnerships Department,SMP,SMP@nitda.gov.ng,DSMP@nitda.gov.ng,Substantive,DSMP
Zonal Office Coordination Department,ZOC,ZOC@nitda.gov.ng,DZOC@nitda.gov.ng,Substantive,DZOC
Special Assistant (Administration) to the DGCEO,SA-Admin,,,DGCEO_Assistant,SA (Admin) to the DGCEO
Special Assistant (Strategic Communications) to the DGCEO,SA-SC,,,DGCEO_Assistant,SA (SC) to the DGCEO
Special Assistant (Digital Transformation) to the DGCEO,SA-DT,,,DGCEO_Assistant,SA (DT) to the DGCEO
Special Assistant (Cyber Security) to the DGCEO,SA-CS,,,DGCEO_Assistant,SA (CS) to the DGCEO
IT Projects Clearance Unit,ITPCU,ITPCU@NITDA.GOV.NG,HITPCU@NITDA.GOV.NG,Substantive,HITPCU
NATIONAL CYBERSECURITY CONFERENCE,NCSC,ncscsecretariat@nitda.gov.ng,ncscsecretariat@nitda.gov.ng,,NCSC Secreteriat
Public Private Partnerships Unit,PPPU,pppu@nitda.gov.ng,hpppu@nitda.gov.ng,Substantive,HPPPU
Chief Protocol to DGCEO,CP,,,DGCEO_Assistant,CP to DGCEO
Special Assistant (Strategy Execution) to the DGCEO,SA-SE,,,DGCEO_Assistant,SA(SE) to the DGCEO
South West Zonal Office,SWZO,swzo@nitda.gov.ng,,Substantive,HSWZO
North East Zonal Office,NEZO,nezo@nitda.gov.ng,hnezo@nitda.gov.ng,Substantive,HNEZO
ICEGOV,ICEGOV,icegov@nitda.gov.ng,Icegov@nitda.gov.ng,,ICEGOV
Digital Nigeria International Conference,DNCE,digitalnigeria@nitda.gov.ng,,Substantive,Digital Nigeria International Conference
Special Duties Office,SDO,sdo@nitda.gov.ng,Dsdo@nitda.gov.ng,Substantive,DSDO
